"district_code","district_name","municipality","pop_density","pop","land_ha","water_ha","tot_ha","av_inc_rec","num_inc_rec","house_stock","av_house_val","year"
"WK001400","Wijk 00 Binnenstad","Groningen",11331,18080,160,11,171,23.5,12000,9242,171,2013
"WK001401","Wijk 01 Schilders- en Zeeheldenwijk","Groningen",6956,24530,353,15,368,23,16700,11559,156,2013
"WK001402","Wijk 02 Oranjewijk","Groningen",1859,24330,1309,45,1354,24.5,16400,12883,144,2013
"WK001403","Wijk 03 Korrewegwijk","Groningen",9993,17750,178,9,186,21,12500,9036,134,2013
"WK001404","Wijk 04 Oosterparkwijk","Groningen",6698,11980,179,10,189,23.4,8700,6727,134,2013
"WK001405","Wijk 05 Oosterpoortwijk","Groningen",566,9370,1657,108,1765,31,6600,4415,203,2013
"WK001406","Wijk 06 Herewegwijk en Helpman","Groningen",4924,24690,501,6,507,32.5,17800,12707,191,2013
"WK001407","Wijk 07 Stadsparkwijk","Groningen",2262,16050,710,71,781,31.7,11600,8127,199,2013
"WK001408","Wijk 08 Hoogkerk","Groningen",916,15745,1719,208,1928,31.1,10600,6043,203,2013
"WK001409","Wijk 09 Noorddijk","Groningen",3096,32880,1062,65,1127,27.8,22700,14552,155,2013
"WK034401","Wijk 01 West","Utrecht",3418,27675,810,89,898,32.9,19700,12104,226,2013
"WK034402","Wijk 02 Noordwest","Utrecht",9562,42085,440,13,453,26.5,31100,19650,185,2013
"WK034403","Wijk 03 Overvecht","Utrecht",3844,31555,821,27,848,23.5,21300,14850,151,2013
"WK034404","Wijk 04 Noordoost","Utrecht",7463,37220,499,9,507,38.4,26200,17329,292,2013
"WK034405","Wijk 05 Oost","Utrecht",2876,31055,1080,24,1104,36.2,21300,14738,324,2013
"WK034406","Wijk 06 Binnenstad","Utrecht",6524,16975,260,10,271,36.9,13000,9001,294,2013
"WK034407","Wijk 07 Zuid","Utrecht",5700,26415,463,10,473,30.3,19000,12726,194,2013
"WK034408","Wijk 08 Zuidwest","Utrecht",7208,36330,504,51,555,28.1,24700,16479,181,2013
"WK034409","Wijk 09 Leidsche Rijn","Utrecht",2632,27765,1055,71,1126,39.7,17800,10940,269,2013
"WK034410","Wijk 10 Vleuten-De Meern","Utrecht",1283,44835,3495,190,3685,37.9,30000,17307,285,2013
"WK036300","Stadsdeel Centrum","Amsterdam",13665,85805,628,176,804,39.8,62800,53750,318,2013
"WK036301","Stadsdeel Westpoort","Amsterdam",19,505,2605,924,3528,21.8,300,109,200,2013
"WK036302","Stadsdeel West","Amsterdam",15874,138535,873,117,990,31.4,99900,75867,219,2013
"WK036303","Stadsdeel Nieuw-West","Amsterdam",4883,141785,2904,333,3236,28.3,93500,62355,191,2013
"WK036304","Stadsdeel Zuid","Amsterdam",8833,137675,1559,182,1741,41.6,101700,77533,319,2013
"WK036305","Stadsdeel Oost","Amsterdam",6948,122825,1768,476,2244,34.4,83700,61724,246,2013
"WK036306","Stadsdeel Noord","Amsterdam",2098,88420,4214,687,4901,26.7,60600,40944,181,2013
